"Comment","Designator","Footprint","LCSC"
"10uF","C1, C4, C12, C13","Adafruit BMP388:0805-NO",""
"1uF","C2","Adafruit BMP388:0805-NO",""
"68uF-POLAR-EIA3528-10V-10%(TANT)","C3","Maduino Zero A9G GPS Tracker v3.3:EIA3528",""
"0.1uF","C5, C14","Adafruit BMP388:0603-NO",""
"10uF","C8, C9, C10","Adafruit ENS160:0805-NO",""
"0.1uF","C11","Adafruit ENS160:0603-NO",""
"ORANGE","CHG1","Maduino Zero A9G GPS Tracker v3.3:D0603",""
"LED_GPRS","D1","Maduino Zero A9G GPS Tracker v3.3:LED-0603",""
"LED_GPS","D2","Maduino Zero A9G GPS Tracker v3.3:LED-0603",""
"ANTENNA-U-FL","GPS_ANTENNA1, GSM_ANTENNA1","Maduino Zero A9G GPS Tracker v3.3:4P-U-FL",""
"SIM7200-6-0-18-00-X_REVA","J1","sim7200:GCT_SIM7200-6-0-18-00-X_REVA",""
"Micro_SD_Card","J2","Connector_Card:microSD_HC_Molex_47219-2001",""
"BAT_PORT","J4","Connector_Molex:Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal",""
"PROG_PORT","J5","Connector_Molex:Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal",""
"82nH","L2","Maduino Zero A9G GPS Tracker v3.3:L0603",""
"10K","R1, R9, R10","Adafruit BMP388:0603-NO",""
"1K","R2, R5, R6, R7","Adafruit BMP388:0603-NO",""
"200K","R3","Adafruit BMP388:0603-NO",""
"100K","R4","Adafruit BMP388:0603-NO",""
"2K","R8","Adafruit BMP388:0603-NO",""
"POWER","SW_POW1","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"RESET","SW_RST1","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"A9G","U1","Maduino Zero A9G GPS Tracker v3.3:A9G",""
"MCP73831-2-OT","U3","Package_TO_SOT_SMD:SOT-23-5",""
"BMP388","U5","footprints:QFN_BMP388_BOS",""
"AP7312-1833","U7","Adafruit ENS160:SOT23-6",""
"MIC5225-3.3","U9","Adafruit BMP388:SOT23-5",""
"ENS160","X1","Adafruit ENS160:ENS160",""
